,track_id,track_name,first_genre,position,seeded_cluster,k_means_cluster,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
191,2LKMUX3iN0tQOvggbalydj,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",5,3,4,2,-0.3979947602249957,1.8579523309755217,-2.218314388030948,-2.119239389284191,1.9387604660967628,-0.6735282528345617,-2.7588360311534057,-0.4555103494956274,0.1599706796260145,-1.585966490952742
192,2MGRnjJc7C0z3EOEWRqcMw,Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,3,44,3,1,-0.2049235240629372,-0.7695721393905811,0.9842706169400116,0.8540371250196661,-0.513069996063685,0.1739515455260648,0.5620144176869719,0.0900969900841759,0.1718729504432578,1.0473009291982989
193,2MSgFefjK0T7Iwjvr3OKqV,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",5,9,4,2,-0.3979947602249957,1.874496718447656,-1.9213859769740385,-2.161773398900283,2.031177496616415,-0.7366141929815859,-2.745514928123053,-0.3563090150265722,1.3801901312790097,-1.0640138228772509
194,2Mb3zpobD0CvJGWv6NpsPy,They Reminisce Over You (T.R.O.Y.),2,50,1,1,-0.7841372325491125,-0.472048904683369,0.9206431002849592,0.3690001732572101,-0.5131788748777659,1.3140588975807197,-0.2271981014697951,1.3967645675437623,-0.7121073506226178,0.9014135375001808
195,2N8m6CYs74qQO4mjVcXO30,Dance Monkey,3,9,3,1,-0.0118522879008788,1.0417625490169042,1.2546875627239829,0.0108190396480112,-0.5128756314963734,-0.1528792287296028,0.3368123740040218,0.3070999092352343,-0.8391776169044358,0.2651824125944966
196,2OQzVmgl8WoNEYDdOLSEOf,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": III. Presto agitato",5,28,4,2,-1.3633509410352878,1.874496718447656,-1.592643807589602,-1.8603042781125416,2.0513937220425893,-0.4873107186656348,-1.898745190212496,-0.3997095988567839,1.1478929707265644,-1.355788606273488
197,2P4OICZRVAQcYAV2JReRfj,Waiting For Love,3,12,3,1,0.5030043418646103,-0.0060486575515908,-0.0443742356499991,0.5667460074372882,-0.5131788748777659,0.219555839608251,0.6557648220326644,-0.3284086397071505,0.1742060660295921,0.6663727397643227
198,2Pi0rY9FcbaecqO0AyhXbu,I'll Never Smile Again,5,34,4,2,-0.8484943112697987,1.877254116359678,-1.3116222756964548,-1.642037649819436,1.7279341152238057,1.8917132892884108,-0.9176333849486612,-0.7035136856682653,-1.266239209011769,-1.5523313423112313
199,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,1,6,3,1,1.1465751290714716,-0.7243508136334146,0.1306014351513945,0.8316508041690915,-0.4620607048715832,-0.5177135813870922,0.7880961568530586,-0.624462622263237,0.0407789051067468,-0.2048991828772189
200,2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,1,29,0,1,1.1465751290714716,1.0803661197852172,-1.1631580701679998,0.4100417614832637,-0.5131598427455433,-0.867346502683853,0.3694867776633784,-0.2152571175783844,1.530659179962908,-0.2332661757074087
201,2RsAajgo0g7bMCHxwH3Sk0,Come As You Are,4,49,3,1,0.6317184993059826,-0.8604008266125975,-0.4632553869624258,0.8950787132457201,-0.508529143029746,-0.5891603087825172,0.4065596587384176,-0.5438615380071297,-0.0920396169674893,0.3664931012737457
202,2S5QAX2BExyN63pwFx2bHv,Gymnopédie (From the World of Eugène Atget),5,41,4,2,-2.2643500431248937,1.8800115142717009,0.3426931573349019,-2.104315175383808,2.1380346881547636,-0.4341057089030842,-1.5281420502454088,0.2822995756179705,-1.5884796660808806,-0.6222992202357251
203,2Tf3o75XkU0IS06tYgEuvn,Lust,4,42,0,1,0.2455760269818657,0.5785196997971487,0.8092949461386177,-0.183195741056971,-0.5131788748777659,0.7516059372337565,0.2131523232316876,-0.5609117673689985,-0.5689757813913955,0.1192950208963778
204,2ThsBNtjuUEERqcpXQEoYR,Don't Start Now,1,13,0,1,-0.8484943112697987,-0.5106524754516819,-0.0761879939775252,0.2085648738280898,-0.5131151937676734,-0.4569078559441774,0.3750162921288079,-0.5268113086452608,-0.1622697774430974,-0.0428020809904205
205,2USlegnFJLrVLpoVfPimKB,Thunder,3,33,3,1,0.1168618695404934,-0.7665390016873566,0.4381344323174803,1.1637145634526194,-0.5130861690440259,1.3292603289414475,0.553971487555438,-0.2462575345999641,-0.7314147274312711,-0.1846370451413691
206,2VxeLyX666F8uXCJ0dZF8B,Shallow,1,43,0,1,0.6960755780266688,0.1621526150817728,-0.0549788217591745,-0.7428537623213438,-0.5131788748777659,0.470379457060275,0.3417135345529253,-0.6802633729020805,-0.9138711289365102,-0.4764118285376064
207,2WaYW84yWij5NSCpgSeU2R,You Make Me Feel So Young - Remastered 1998,5,2,0,1,-0.3979947602249957,0.1814544004659293,-0.0549788217591745,-1.0338759333788177,-0.5131788748777659,0.0827429573616923,-0.3110205139343753,-0.4818607039639702,0.078379260643038,0.512380492971864
208,2Wav4qVnNpDLnvjOxxCCZE,"Flute Sonata in E-Flat Major, BWV 1031: II. Siciliano (Arr. for Piano by Ignaz Friedman)",5,10,4,2,-4.774276113231653,1.7779877915268731,-1.2957153965326915,-1.6345755428692443,2.019625367801458,-0.4759096451450882,-1.248147545041384,-0.4880607873682861,-0.0546421410474016,-0.8573400179715829
